Ensembl.ID,Gene_name,log2FoldChange,padj
ENSG00000086289,EPDR1,-2.207819541,3.30E-06
ENSG00000036672,USP2,-2.207885601,0.020927814
ENSG00000164929,BAALC,-2.207965037,3.11E-06
ENSG00000113657,DPYSL3,-2.208635452,3.16E-05
ENSG00000153714,LURAP1L,-2.208829339,0.00893632
ENSG00000153707,PTPRD,-2.212051537,0.003215384
ENSG00000119514,GALNT12,-2.213008835,3.71E-05
ENSG00000105419,MEIS3,-2.215406854,0.002677426
ENSG00000185920,PTCH1,-2.226874134,0.031794833
ENSG00000105928,GSDME,-2.231939592,5.74E-06
ENSG00000260428,SCX,-2.239241236,0.010323073
ENSG00000176842,IRX5,-2.261769471,5.74E-06
ENSG00000134769,DTNA,-2.267921061,4.17E-05
ENSG00000103316,CRYM,-2.269521838,0.009923686
ENSG00000148344,PTGES,-2.269590382,5.99E-08
ENSG00000196935,SRGAP1,-2.269736659,5.78E-07
ENSG00000142173,COL6A2,-2.273357919,0.007494535
ENSG00000157227,MMP14,-2.274188072,7.48E-11
ENSG00000164509,IL31RA,-2.285787573,2.29E-07
ENSG00000122786,CALD1,-2.289034244,3.65E-05
ENSG00000177508,IRX3,-2.292483894,4.47E-05
ENSG00000111981,ULBP1,-2.2961368,0.000116724
ENSG00000146674,IGFBP3,-2.299987302,0.006870748
ENSG00000106853,PTGR1,-2.301919714,2.61E-06
ENSG00000119703,ZC2HC1C,-2.305598947,0.034489167
ENSG00000116016,EPAS1,-2.312417841,6.30E-11
ENSG00000120658,ENOX1,-2.316140328,0.025387832
ENSG00000185532,PRKG1,-2.335137415,3.28E-05
ENSG00000156113,KCNMA1,-2.337592845,0.000744638
ENSG00000115507,OTX1,-2.348674764,0.035607978
ENSG00000103888,CEMIP,-2.34988649,0.012753328
ENSG00000105997,HOXA3,-2.353490517,0.000702671
ENSG00000157110,RBPMS,-2.356168875,3.56E-06
ENSG00000135476,ESPL1,-2.364920825,0.009331581
ENSG00000122691,TWIST1,-2.365538448,2.67E-05
ENSG00000119698,PPP4R4,-2.387627365,0.014411546
ENSG00000185250,PPIL6,-2.389236097,0.025706502
ENSG00000012171,SEMA3B,-2.389371674,0.027980277
ENSG00000110841,PPFIBP1,-2.391863236,2.61E-09
ENSG00000134901,POGLUT2,-2.394885149,0.00622597
ENSG00000198300,PEG3,-2.406595248,0.014177961
ENSG00000162627,SNX7,-2.407022246,0.011655886
ENSG00000110844,PRPF40B,-2.408805422,0.000633055
ENSG00000105825,TFPI2,-2.410876298,0.006814289
ENSG00000152952,PLOD2,-2.416169584,2.77E-07
ENSG00000121769,FABP3,-2.416637523,0.013239127
ENSG00000188375,H3-5,-2.418370351,2.54E-05
ENSG00000135740,SLC9A5,-2.422243499,0.022395318
ENSG00000184867,ARMCX2,-2.425804242,0.00011717
ENSG00000165300,SLITRK5,-2.434536127,0.00105265
ENSG00000061676,NCKAP1,-2.434928369,1.37E-06
ENSG00000126778,SIX1,-2.444938268,0.034944784
ENSG00000118257,NRP2,-2.445583502,1.41E-10
ENSG00000138696,BMPR1B,-2.458461503,0.040633129
ENSG00000127990,SGCE,-2.460564445,0.002558199
ENSG00000080031,PTPRH,-2.464206514,0.026381145
ENSG00000154736,ADAMTS5,-2.469087396,1.83E-06
ENSG00000214944,ARHGEF28,-2.477953265,0.005785612
ENSG00000138193,PLCE1,-2.481049336,0.041803374
ENSG00000132481,TRIM47,-2.48168,8.99E-05
ENSG00000172986,GXYLT2,-2.485245406,0.014052383
ENSG00000165507,DEPP1,-2.48990946,0.04847863
ENSG00000070669,ASNS,-2.491264639,0.029455542
ENSG00000166482,MFAP4,-2.491841246,0.00105484
ENSG00000155760,FZD7,-2.498359617,1.89E-06
ENSG00000165152,PGAP4,-2.502682467,1.89E-05
ENSG00000128596,CCDC136,-2.5031526,2.14E-05
ENSG00000142279,WTIP,-2.503597501,0.043077333
ENSG00000049130,KITLG,-2.515581409,0.002272227
ENSG00000154556,SORBS2,-2.516212759,0.000328082
ENSG00000185133,INPP5J,-2.518404302,0.04249154
ENSG00000133169,BEX1,-2.52002183,3.31E-07
ENSG00000186868,MAPT,-2.520628247,0.000578706
ENSG00000157077,ZFYVE9,-2.527755493,2.54E-05
ENSG00000204262,COL5A2,-2.529375909,0.040306469
ENSG00000136235,GPNMB,-2.53673728,2.40E-07
ENSG00000169992,NLGN2,-2.547866072,0.000211105
ENSG00000188760,TMEM198,-2.551592516,0.048414046
ENSG00000254726,MEX3A,-2.556732411,0.000252586
ENSG00000165633,VSTM4,-2.562382165,0.013457754
ENSG00000130635,COL5A1,-2.564743369,0.006605397
ENSG00000168243,GNG4,-2.565022612,0.036059085
ENSG00000178531,CTXN1,-2.570460535,0.001775147
ENSG00000170485,NPAS2,-2.571056551,0.01162116
ENSG00000151240,DIP2C,-2.571969823,2.26E-05
ENSG00000157680,DGKI,-2.581557195,0.001570803
ENSG00000105290,APLP1,-2.586688199,0.015151693
ENSG00000273706,LHX1,-2.590440487,0.045451231
ENSG00000181264,TLCD5,-2.592267391,0.002152302
ENSG00000180616,SSTR2,-2.596348782,1.87E-09
ENSG00000159403,C1R,-2.601290381,1.34E-05
ENSG00000184916,JAG2,-2.602036658,0.001023206
ENSG00000157782,CABP1,-2.609367928,0.002297085
ENSG00000171444,MCC,-2.615363045,0.000898282
ENSG00000164604,GPR85,-2.623334242,0.005690166
ENSG00000137693,YAP1,-2.624378752,0.010066906
ENSG00000137203,TFAP2A,-2.624613005,0.000542393
ENSG00000172638,EFEMP2,-2.624640779,3.28E-05
ENSG00000165912,PACSIN3,-2.628476323,0.000688444
ENSG00000162520,SYNC,-2.630939046,0.000237393
ENSG00000123094,RASSF8,-2.63850076,5.46E-07
ENSG00000157399,ARSL,-2.638989446,0.001349685
ENSG00000055118,KCNH2,-2.641752347,7.63E-05
ENSG00000174804,FZD4,-2.64374668,0.038079365
ENSG00000167103,PIP5KL1,-2.645413305,0.002938197
ENSG00000116117,PARD3B,-2.646526417,0.00051305
ENSG00000132938,MTUS2,-2.649347838,0.007375117
ENSG00000128274,A4GALT,-2.649409606,0.001436959
ENSG00000072682,P4HA2,-2.653807339,1.41E-10
ENSG00000187068,C3orf70,-2.654353293,0.038655045
ENSG00000104368,PLAT,-2.656149894,0.031605184
ENSG00000142621,FHAD1,-2.657669093,3.93E-06
ENSG00000176428,VPS37D,-2.660628986,0.002503885
ENSG00000111254,AKAP3,-2.662215549,0.01261309
ENSG00000066248,NGEF,-2.664209494,0.020244602
ENSG00000133424,LARGE1,-2.670161414,0.000847128
ENSG00000137821,LRRC49,-2.670987412,0.00337783
ENSG00000177469,CAVIN1,-2.672797066,1.41E-11
ENSG00000114270,COL7A1,-2.678562181,7.46E-05
ENSG00000115414,FN1,-2.685435469,1.08E-05
ENSG00000074181,NOTCH3,-2.685909409,0.000476704
ENSG00000156427,FGF18,-2.691460026,0.001925832
ENSG00000018625,ATP1A2,-2.706919098,0.036317818
ENSG00000204147,ASAH2B,-2.707421635,0.010366041
ENSG00000197380,DACT3,-2.712928501,5.74E-06
ENSG00000110092,CCND1,-2.715212537,1.87E-09
ENSG00000006606,CCL26,-2.722307362,0.035197347
ENSG00000149256,TENM4,-2.728074074,0.007502374
ENSG00000116761,CTH,-2.728480527,4.18E-06
ENSG00000151012,SLC7A11,-2.730112594,1.19E-15
ENSG00000182704,TSKU,-2.748928504,0.028682033
ENSG00000128641,MYO1B,-2.750594293,2.68E-07
ENSG00000118156,ZNF541,-2.75391722,0.04912488
ENSG00000183671,CMKLR2,-2.754561976,0.024994106
ENSG00000173918,C1QTNF1,-2.758991285,0.017637314
ENSG00000169760,NLGN1,-2.764706745,0.02275625
ENSG00000109472,CPE,-2.767596082,0.000476704
ENSG00000128268,MGAT3,-2.768781551,0.002844893
ENSG00000006468,ETV1,-2.792981138,0.000387103
ENSG00000067177,PHKA1,-2.798618024,0.015849836
ENSG00000070778,PTPN21,-2.800519866,0.047633703
ENSG00000136010,ALDH1L2,-2.816906532,1.39E-05
ENSG00000134363,FST,-2.837997451,0.001406835
ENSG00000115183,TANC1,-2.841760593,0.00055941
ENSG00000204060,FOXO6,-2.857467523,1.60E-05
ENSG00000185222,TCEAL9,-2.859807172,6.14E-11
ENSG00000104635,SLC39A14,-2.865049662,9.58E-08
ENSG00000176697,BDNF,-2.866109483,0.002651449
ENSG00000172602,RND1,-2.866805257,0.000231571
ENSG00000117016,RIMS3,-2.867653899,0.000208021
ENSG00000174607,UGT8,-2.87226404,0.003177021
ENSG00000169908,TM4SF1,-2.898344648,0.000143886
ENSG00000108342,CSF3,-2.900731038,5.74E-06
ENSG00000092421,SEMA6A,-2.905397161,0.002781913
ENSG00000188766,SPRED3,-2.910245984,0.001838082
ENSG00000129038,LOXL1,-2.913128729,2.62E-07
ENSG00000117318,ID3,-2.913901012,3.15E-11
ENSG00000198729,PPP1R14C,-2.919119757,0.003533989
ENSG00000144355,DLX1,-2.923755439,0.014078183
ENSG00000132639,SNAP25,-2.925225555,0.01561884
ENSG00000125378,BMP4,-2.926245522,0.001448157
ENSG00000140807,NKD1,-2.937232244,0.000281677
ENSG00000063660,GPC1,-2.939888298,8.00E-05
ENSG00000116885,OSCP1,-2.95199484,0.00051305
ENSG00000119630,PGF,-2.963406189,0.007278473
ENSG00000135931,ARMC9,-2.965658065,8.26E-05
ENSG00000065320,NTN1,-2.969591012,0.022373617
ENSG00000159164,SV2A,-2.969779478,1.86E-09
ENSG00000121068,TBX2,-2.970399947,0.045020558
ENSG00000000003,TSPAN6,-2.972802778,0.000224695
ENSG00000129988,LBP,-2.975107916,0.042901911
ENSG00000164070,HSPA4L,-2.989165727,2.55E-05
ENSG00000070808,CAMK2A,-2.995483058,0.021937317
ENSG00000142156,COL6A1,-3.009252205,0.000163092
ENSG00000173212,MAB21L3,-3.011821626,0.000633281
ENSG00000108176,DNAJC12,-3.013381939,0.000538111
ENSG00000118777,ABCG2,-3.018078102,0.000370471
ENSG00000163359,COL6A3,-3.035194072,4.87E-08
ENSG00000147852,VLDLR,-3.052011331,1.08E-05
ENSG00000006042,TMEM98,-3.057307475,0.000281677
ENSG00000166780,BMERB1,-3.061527004,9.21E-09
ENSG00000173320,STOX2,-3.068699326,0.00018171
ENSG00000126878,AIF1L,-3.071836065,0.026371546
ENSG00000147027,TMEM47,-3.085798529,0.009134614
ENSG00000066735,KIF26A,-3.089650291,0.023715239
ENSG00000105976,MET,-3.092342407,4.40E-08
ENSG00000198807,PAX9,-3.095744884,0.04279275
ENSG00000166833,NAV2,-3.096656244,1.15E-05
ENSG00000153976,HS3ST3A1,-3.097926825,0.049732409
ENSG00000079156,OSBPL6,-3.098430851,2.07E-05
ENSG00000174233,ADCY6,-3.102561667,8.01E-06
ENSG00000092445,TYRO3,-3.105876124,0.000198654
ENSG00000154175,ABI3BP,-3.124705898,0.004721838
ENSG00000144061,NPHP1,-3.157390095,0.000623837
ENSG00000117600,PLPPR4,-3.158066279,0.013336735
ENSG00000111077,TNS2,-3.160192377,0.000309472
ENSG00000186472,PCLO,-3.166312583,5.54E-05
ENSG00000180138,CSNK1A1L,-3.169276665,0.025820267
ENSG00000092621,PHGDH,-3.171405795,1.86E-08
ENSG00000187957,DNER,-3.1739593,9.21E-09
ENSG00000111799,COL12A1,-3.177965653,0.030993312
ENSG00000105974,CAV1,-3.18810428,1.73E-07
ENSG00000166073,GPR176,-3.190685197,0.044412402
ENSG00000054356,PTPRN,-3.199824665,2.62E-07
ENSG00000128578,STRIP2,-3.205590532,0.000376656
ENSG00000100196,KDELR3,-3.219286583,0.002983965
ENSG00000152402,GUCY1A2,-3.252719254,0.00299739
ENSG00000084710,EFR3B,-3.261818346,0.036907267
ENSG00000102024,PLS3,-3.266939575,2.40E-06
ENSG00000138771,SHROOM3,-3.268729673,0.022373617
ENSG00000149948,HMGA2,-3.273198323,5.70E-07
ENSG00000171951,SCG2,-3.274893211,0.021916246
ENSG00000060656,PTPRU,-3.280019545,0.000558819
ENSG00000018408,WWTR1,-3.284656077,0.000159335
ENSG00000168917,SLC35G2,-3.288330637,0.008854247
ENSG00000103021,CCDC113,-3.296729382,0.003504089
ENSG00000169851,PCDH7,-3.313027313,0.00622597
ENSG00000175183,CSRP2,-3.321662604,0.017907218
ENSG00000134874,DZIP1,-3.328926332,0.004003045
ENSG00000145777,TSLP,-3.334792767,0.000212752
ENSG00000179083,FAM133A,-3.338530935,0.005926017
ENSG00000151632,AKR1C2,-3.341122435,0.020551859
ENSG00000162595,DIRAS3,-3.359597909,0.000130989
ENSG00000161249,DMKN,-3.371223109,0.00059255
ENSG00000146374,RSPO3,-3.378487496,0.00040779
ENSG00000141750,STAC2,-3.399631441,0.044419676
ENSG00000161681,SHANK1,-3.421596815,0.000852465
ENSG00000176046,NUPR1,-3.429994227,0.006277544
ENSG00000161243,FBXO27,-3.433044008,9.68E-05
ENSG00000164099,PRSS12,-3.435896676,0.040633129
ENSG00000050820,BCAR1,-3.439270085,0.041174892
ENSG00000115884,SDC1,-3.466282194,0.000284811
ENSG00000132563,REEP2,-3.466949366,0.000797891
ENSG00000107130,NCS1,-3.470476678,0.001225588
ENSG00000184304,PRKD1,-3.474586669,0.004058132
ENSG00000142149,HUNK,-3.476074658,0.022927885
ENSG00000196632,WNK3,-3.476101741,0.021841793
ENSG00000100968,NFATC4,-3.482763128,0.002614986
ENSG00000177675,CD163L1,-3.489195532,3.00E-05
ENSG00000135472,FAIM2,-3.499627116,0.005131631
ENSG00000188015,S100A3,-3.506843616,0.000673773
ENSG00000011332,DPF1,-3.51394255,2.67E-06
ENSG00000114279,FGF12,-3.524942239,0.025718486
ENSG00000213853,EMP2,-3.52781037,0.000457097
ENSG00000154721,JAM2,-3.558795745,4.31E-06
ENSG00000163132,MSX1,-3.563923031,0.004877091
ENSG00000095752,IL11,-3.567168812,0.02000521
ENSG00000072201,LNX1,-3.570180164,0.018822994
ENSG00000144724,PTPRG,-3.572789434,0.000150843
ENSG00000112769,LAMA4,-3.604174166,0.01066595
ENSG00000108821,COL1A1,-3.618809758,0.003058524
ENSG00000179954,SSC5D,-3.625881143,2.36E-05
ENSG00000011028,MRC2,-3.627092187,1.29E-06
ENSG00000007384,RHBDF1,-3.631174586,0.004885041
ENSG00000164266,SPINK1,-3.634796658,0.001634666
ENSG00000128965,CHAC1,-3.637160363,5.02E-08
ENSG00000134013,LOXL2,-3.644245613,0.000134767
ENSG00000151474,FRMD4A,-3.656231737,9.31E-05
ENSG00000166741,NNMT,-3.658631319,0.006626832
ENSG00000114374,USP9Y,-3.66594238,0.006090674
ENSG00000070087,PFN2,-3.698209068,0.000141869
ENSG00000116141,MARK1,-3.699810168,0.019554752
ENSG00000168702,LRP1B,-3.757656783,0.019260926
ENSG00000170745,KCNS3,-3.76786855,0.006512186
ENSG00000140937,CDH11,-3.782927869,0.021451484
ENSG00000173546,CSPG4,-3.787783945,0.008861791
ENSG00000187634,SAMD11,-3.791904404,0.000137667
ENSG00000180332,KCTD4,-3.797224184,0.025961071
ENSG00000155980,KIF5A,-3.798186843,0.000856945
ENSG00000007866,TEAD3,-3.799589082,0.016232639
ENSG00000144730,IL17RD,-3.811366133,0.046063713
ENSG00000091986,CCDC80,-3.815554456,5.61E-10
ENSG00000152527,PLEKHH2,-3.821956333,0.002661163
ENSG00000157150,TIMP4,-3.826187638,0.026153985
ENSG00000102038,SMARCA1,-3.826453892,1.58E-08
ENSG00000154065,ANKRD29,-3.830655971,3.30E-06
ENSG00000187134,AKR1C1,-3.832858174,1.22E-07
ENSG00000102452,NALCN,-3.840805215,0.008338414
ENSG00000117477,CCDC181,-3.843228275,4.52E-05
ENSG00000067646,ZFY,-3.887617618,0.038495723
ENSG00000084636,COL16A1,-3.891768759,0.013108898
ENSG00000139910,NOVA1,-3.921749966,0.001831608
ENSG00000088367,EPB41L1,-3.925726582,5.93E-06
ENSG00000135069,PSAT1,-3.930093281,6.14E-07
ENSG00000153132,CLGN,-3.967901579,3.68E-13
ENSG00000185551,NR2F2,-3.972166148,0.002002808
ENSG00000196739,COL27A1,-4.025212712,0.002259473
ENSG00000107731,UNC5B,-4.025607978,1.64E-08
ENSG00000162552,WNT4,-4.034588137,0.021341529
ENSG00000227051,C14orf132,-4.040062169,0.00010037
ENSG00000174307,PHLDA3,-4.050637991,1.51E-06
ENSG00000185070,FLRT2,-4.060104539,0.009032972
ENSG00000168398,BDKRB2,-4.091224952,0.0075232
ENSG00000167779,IGFBP6,-4.11144266,4.72E-08
ENSG00000137819,PAQR5,-4.123414885,0.014733336
ENSG00000137273,FOXF2,-4.127578709,0.043447933
ENSG00000133083,DCLK1,-4.127583173,0.014112044
ENSG00000109610,SOD3,-4.158930931,0.000324472
ENSG00000182963,GJC1,-4.164044389,0.005427314
ENSG00000039560,RAI14,-4.170683667,9.23E-07
ENSG00000147614,ATP6V0D2,-4.176666058,2.62E-05
ENSG00000168938,PPIC,-4.183049767,0.014807795
ENSG00000156103,MMP16,-4.275807369,0.001076821
ENSG00000198768,APCDD1L,-4.28388907,0.047462163
ENSG00000099194,SCD,-4.306054567,2.51E-22
ENSG00000074410,CA12,-4.315976641,0.01261309
ENSG00000175745,NR2F1,-4.388066757,0.014177961
ENSG00000105894,PTN,-4.40301916,0.018179956
ENSG00000182916,TCEAL7,-4.429603588,0.011730493
ENSG00000166250,CLMP,-4.444448323,1.91E-06
ENSG00000091656,ZFHX4,-4.452751635,0.025441601
ENSG00000166923,GREM1,-4.491037873,0.007621923
ENSG00000204334,ERICH2,-4.583683179,0.033658511
ENSG00000172380,GNG12,-4.595887123,0.002330457
ENSG00000141756,FKBP10,-4.642970246,0.000370242
ENSG00000152661,GJA1,-4.656734434,0.013196249
ENSG00000131711,MAP1B,-4.66965478,4.56E-12
ENSG00000005884,ITGA3,-4.777414823,2.82E-14
ENSG00000057019,DCBLD2,-4.807456617,1.34E-18
ENSG00000159167,STC1,-4.844642866,0.020498165
ENSG00000184347,SLIT3,-4.84750044,0.027859945
ENSG00000134138,MEIS2,-4.862966439,2.52E-05
ENSG00000164647,STEAP1,-4.934089028,0.00038259
ENSG00000007372,PAX6,-5.008302407,0.015915305
ENSG00000177363,LRRN4CL,-5.038108399,0.002331405
ENSG00000075643,MOCOS,-5.074095172,4.17E-10
ENSG00000104067,TJP1,-5.089836091,0.000296014
ENSG00000104611,SH2D4A,-5.100720643,2.14E-05
ENSG00000205364,MT1M,-5.333797008,0.003583146
ENSG00000171017,LRRC8E,-5.550147146,0.000436152
ENSG00000162733,DDR2,-5.67503358,1.23E-10
ENSG00000118946,PCDH17,-5.705463681,5.02E-08
ENSG00000146648,EGFR,-5.708585338,0.04667811
ENSG00000174938,SEZ6L2,-5.734227973,5.65E-06
ENSG00000128591,FLNC,-5.793721398,0.01842773
ENSG00000100344,PNPLA3,-5.926278553,6.32E-05
ENSG00000118785,SPP1,-5.961625152,9.69E-07
ENSG00000224982,TMEM233,-5.978604494,2.77E-07
ENSG00000087245,MMP2,-6.006542911,2.72E-08
ENSG00000115648,MLPH,-6.042773953,0.007381155
ENSG00000113594,LIFR,-6.146505448,0.00820629
ENSG00000164294,GPX8,-6.386664105,0.010407427
ENSG00000144366,GULP1,-6.394289309,0.008471231
ENSG00000092607,TBX15,-6.772615521,0.003320683
ENSG00000188643,S100A16,-6.791933315,0.000473354
ENSG00000140945,CDH13,-6.820331248,0.001250676
ENSG00000154277,UCHL1,-6.883432885,3.68E-13
ENSG00000214575,CPEB1,-6.917750381,0.000222235
ENSG00000115963,RND3,-7.101401654,7.85E-05
ENSG00000182752,PAPPA,-7.108594199,1.49E-05
ENSG00000185567,AHNAK2,-7.266606438,1.69E-05
ENSG00000169213,RAB3B,-7.360638056,1.79E-05
ENSG00000116132,PRRX1,-8.452208961,0.000409074
ENSG00000166173,LARP6,-8.603596104,1.32E-05
ENSG00000204442,NALF1,-9.108436528,0.027096121
