Gene.ID,Gene.symbol,logFC,adj.P.Val
81539,SLC38A1,0.784,0.143784
8611,PLPP1,0.722,0.143784
10953,TOMM34,0.718,0.143897
4709,NDUFB3,0.98,0.14517
10456,HAX1,0.82,0.145329
55153,SDAD1,0.924,0.146111
10673,TNFSF13B,1.02,0.146235
55165,CEP55,0.712,0.147087
115752,DIS3L,0.708,0.147233
3673,ITGA2,0.786,0.147233
84671,ZNF347,0.854,0.147241
81930,KIF18A,0.722,0.148802
57181,SLC39A10,0.894,0.150119
5426,POLE,0.828,0.150686
57556,SEMA6A,0.98,0.151712
84174,SLA2,0.7,0.152505
387119,CEP85L,0.716,0.153419
51668,HSPB11,0.868,0.154518
10780,ZNF234,0.758,0.154816
3588,IL10RB,0.864,0.154816
54663,WDR74,0.77,0.155529
25780,RASGRP3,1.21,0.155647
10797,MTHFD2,0.704,0.155766
664701,ZNF826P,0.83,0.15609
152579,SCFD2,0.728,0.157547
7074,TIAM1,0.806,0.158895
100125556,FAM86JP,0.806,0.159452
729375,FAM86HP,0.806,0.159452
653113,FAM86FP,0.806,0.159452
645332,FAM86C2P,0.806,0.159452
196483,EEF2KMT,0.806,0.159452
85002,FAM86B1,0.806,0.159452
55199,FAM86C1,0.806,0.159452
9871,SEC24D,0.714,0.159907
100526836,BLOC1S5-TXNDC5,0.718,0.160126
81567,TXNDC5,0.718,0.160126
63915,BLOC1S5,0.718,0.160126
3035,HARS,0.83,0.160654
285,ANGPT2,0.944,0.160838
60386,SLC25A19,0.798,0.161133
5395,PMS2,0.754,0.161133
2483,FRG1,0.808,0.162888
9363,RAB33A,0.724,0.162888
11073,TOPBP1,0.728,0.164025
5516,PPP2CB,0.766,0.165099
7697,ZNF138,0.878,0.167553
4218,RAB8A,0.85,0.168583
9050,PSTPIP2,0.888,0.16885
3690,ITGB3,1.36,0.169244
64979,MRPL36,0.788,0.171035
57691,KIAA1586,0.832,0.172596
4345,CD200,0.842,0.173254
128869,PIGU,0.782,0.173777
81542,TMX1,0.706,0.173821
55728,N4BP2,0.926,0.175865
51138,COPS4,0.762,0.175972
84083,ZRANB3,0.702,0.177016
79230,ZNF557,0.76,0.180132
200933,FBXO45,0.7,0.182595
26017,FAM32A,0.716,0.182998
5481,PPID,0.708,0.183942
55735,DNAJC11,0.784,0.184442
8883,NAE1,0.76,0.186921
8402,SLC25A11,0.782,0.187108
5577,PRKAR2B,0.886,0.187395
125893,ZNF816,0.882,0.187507
692198,SNORD78,0.746,0.188348
7027,TFDP1,0.816,0.188421
134957,STXBP5,0.776,0.189509
7490,WT1,0.7,0.189906
81624,DIAPH3,0.768,0.190041
730051,ZNF814,1.08,0.190127
57546,PDP2,0.712,0.190385
8089,YEATS4,0.77,0.190864
754,PTTG1IP,0.922,0.192689
80304,WDCP,0.73,0.193894
388931,MFSD2B,0.738,0.194744
7294,TXK,0.902,0.197266
10432,RBM14,0.728,0.1982
55148,UBR7,0.952,0.198384
152185,SPICE1,0.722,0.205212
26046,LTN1,0.706,0.205618
9808,KIAA0087,1.39,0.206497
3157,HMGCS1,0.9,0.206979
55320,MIS18BP1,0.766,0.208226
54443,ANLN,0.718,0.210791
339487,ZBTB8OS,1.03,0.210863
3674,ITGA2B,0.904,0.211544
441051,HSP90AA6P,0.81,0.211544
51701,NLK,0.864,0.211571
80008,TMEM156,0.866,0.215222
26812,SNORD37,0.852,0.217658
2805,GOT1,0.72,0.217851
2273,FHL1,0.84,0.221891
5271,SERPINB8,0.742,0.223649
171586,ABHD3,0.706,0.225079
57405,SPC25,0.88,0.226673
834,CASP1,0.782,0.22974
4494,MT1F,0.738,0.231263
201305,SPNS3,0.766,0.231785
94101,ORMDL1,0.714,0.232214
3554,IL1R1,1.06,0.239745
93134,ZNF561,0.766,0.243451
63939,FAM217B,0.722,0.245326
2037,EPB41L2,0.704,0.246218
9833,MELK,0.714,0.246472
2491,CENPI,0.73,0.25229
255403,ZNF718,0.752,0.257018
9303,SNORD25,0.722,0.260666
5547,PRCP,0.712,0.261208
3512,JCHAIN,1.39,0.261402
6637,SNRPG,0.74,0.273266
100293516,ZNF587B,0.714,0.28532
9173,IL1RL1,1.18,0.296102
55346,TCP11L1,0.704,0.29781
28976,ACAD9,0.744,0.303703
11080,DNAJB4,0.978,0.305269
654433,PAX8-AS1,0.81,0.306166
1349,COX7B,1.15,0.312757
26810,SNORD41,0.72,0.317094
241,ALOX5AP,1.23,0.327169
202309,GAPT,0.724,0.338733
57091,CASS4,0.858,0.341807
7450,VWF,0.764,0.344687
6526,SLC5A3,0.824,0.344687
406934,MIR142,0.736,0.357044
196513,DCP1B,0.708,0.357677
84911,ZNF382,0.772,0.360928
10911,UTS2,1.08,0.369346
64499,TPSB2,0.874,0.376067
23430,TPSD1,0.874,0.376067
7177,TPSAB1,0.874,0.376067
9938,ARHGAP25,0.744,0.379062
64968,MRPS6,0.722,0.394719
5473,PPBP,0.744,0.398645
84833,USMG5,0.706,0.421463
406991,MIR21,0.914,0.450782
7879,RAB7A,0.748,0.478313
2996,GYPE,0.724,0.497048
85391,SNORD14E,0.924,0.532805
26830,RNU5D-1,0.906,0.556614
1178,CLC,0.842,0.58194
158326,FREM1,0.728,0.637338
100133941,CD24,0.808,0.643743
643332,ECRP,0.738,0.663074
3311,HSPA7,0.84,0.666324
3310,HSPA6,0.84,0.666324
246126,TXLNGY,0.714,0.782344
222865,TMEM130,-0.894,0.0505477
130576,LYPD6B,-1.07,0.050696
5166,PDK4,-0.834,0.0508608
3164,NR4A1,-1.97,0.0509398
677806,SNORA20,-0.748,0.0511745
27330,RPS6KA6,-1.76,0.0511745
5802,PTPRS,-0.78,0.0514703
7102,TSPAN7,-0.93,0.0514703
9241,NOG,-0.772,0.0514703
64651,CSRNP1,-1.14,0.0515033
407018,MIR27A,-1.22,0.052511
604,BCL6,-1.16,0.0526491
407010,MIR23A,-1.11,0.053099
11197,WIF1,-0.958,0.0531595
92162,TMEM88,-0.876,0.0539489
9194,SLC16A7,-0.856,0.0541564
153020,RASGEF1B,-1.45,0.0556896
4121,MAN1A1,-2.03,0.0561355
84441,MAML2,-0.998,0.0563204
51646,YPEL5,-0.974,0.0564644
22924,MAPRE3,-1.07,0.0580695
334,APLP2,-0.788,0.0581375
79974,CPED1,-0.952,0.0581375
347,APOD,-1.09,0.0586356
91966,CXorf40A,-1.01,0.0587271
5743,PTGS2,-1.19,0.060091
158586,ZXDB,-0.738,0.060091
9314,KLF4,-2.14,0.060114
384,ARG2,-1.39,0.0604135
9208,LRRFIP1,-0.7,0.0613704
6868,ADAM17,-0.802,0.0613809
4117,MAK,-0.854,0.062396
51310,SLC22A17,-0.766,0.0632581
79145,CHCHD7,-0.718,0.0641534
64112,MOAP1,-0.712,0.0663877
147699,PPM1N,-0.722,0.0668355
10512,SEMA3C,-0.82,0.0668355
1791,DNTT,-0.972,0.0669646
57633,LRRN1,-1.94,0.0669646
23764,MAFF,-1.24,0.067581
3597,IL13RA1,-0.882,0.0682858
338699,ANKRD42,-1.16,0.0689998
5054,SERPINE1,-1.35,0.0696624
29105,CFAP20,-0.816,0.0700069
80243,PREX2,-1.95,0.0701881
123879,DCUN1D3,-0.994,0.0703743
323,APBB2,-1.05,0.0707923
26249,KLHL3,-0.732,0.0721369
11040,PIM2,-0.894,0.0721818
133746,JMY,-0.756,0.0726929
4860,PNP,-0.802,0.0731671
100033413,SNORD116-1,-1.25,0.0731671
80177,MYCT1,-0.892,0.0742442
6497,SKI,-0.85,0.0745269
2260,FGFR1,-0.764,0.074899
58494,JAM2,-0.928,0.0749844
9975,NR1D2,-0.894,0.0759531
129881,CCDC173,-0.768,0.0761108
4092,SMAD7,-1.4,0.0763442
390067,OR52H1,-0.702,0.0770114
5593,PRKG2,-1.13,0.0775399
55859,BEX1,-1.28,0.0787198
7846,TUBA1A,-0.78,0.0800897
25937,WWTR1,-0.78,0.0812371
23670,TMEM2,-1.19,0.0820277
11213,IRAK3,-1.05,0.0825077
9262,STK17B,-0.88,0.0841343
84102,SLC41A2,-0.968,0.0851423
1848,DUSP6,-1.12,0.0851423
4783,NFIL3,-1.14,0.0859231
1191,CLU,-1.03,0.0861861
84251,SGIP1,-0.996,0.0864207
56937,PMEPA1,-0.966,0.0870566
259287,TAS2R41,-0.942,0.0889014
1089,CEACAM4,-0.882,0.089067
83891,SNX25,-0.936,0.0897006
54435,HCG4,-0.756,0.0897006
677801,SNORA14A,-1.66,0.0920881
9098,USP6,-0.706,0.0923444
677837,SNORA60,-1.78,0.0924997
1378,CR1,-1.11,0.0931687
5747,PTK2,-1.26,0.0931687
10766,TOB2,-0.796,0.0931687
2920,CXCL2,-1,0.0936806
85461,TANC1,-0.876,0.0944681
643418,LIPN,-0.802,0.0954742
340286,FAM183BP,-0.9,0.095881
9479,MAPK8IP1,-0.724,0.0963072
8076,MFAP5,-1.04,0.0963971
6840,SVIL,-0.728,0.0973834
3383,ICAM1,-1.24,0.09794
8793,TNFRSF10D,-1.2,0.0990737
22925,PLA2R1,-0.808,0.0997206
55224,ETNK2,-0.72,0.101683
8863,PER3,-0.712,0.104097
54810,GIPC2,-0.862,0.104681
2354,FOSB,-0.956,0.105035
26022,TMEM98,-0.718,0.108795
100131541,LOC100131541,-0.736,0.113071
5645,PRSS2,-1.15,0.114271
154754,PRSS3P2,-1.15,0.114271
349196,LINC00965,-0.88,0.114865
2353,FOS,-0.722,0.114977
4758,NEU1,-1.04,0.114977
57631,LRCH2,-0.926,0.115884
6547,SLC8A3,-0.746,0.115884
3572,IL6ST,-0.926,0.116394
10644,IGF2BP2,-1.59,0.116934
79608,RIC3,-0.882,0.119492
862,RUNX1T1,-0.716,0.120011
64180,DPEP3,-0.786,0.121159
79884,MAP9,-0.992,0.122985
94056,SYAP1,-1.31,0.12335
902,CCNH,-0.864,0.124993
7852,CXCR4,-1.02,0.127023
54830,NUP62CL,-0.728,0.127897
5209,PFKFB3,-0.878,0.129005
26049,FAM169A,-0.868,0.129844
100033421,SNORD116-9,-1.03,0.130225
100033420,SNORD116-8,-1.03,0.130225
100033418,SNORD116-6,-1.03,0.130225
100033415,SNORD116-3,-1.03,0.130225
2335,FN1,-0.754,0.13073
2844,GPR21,-0.754,0.130851
8639,AOC3,-0.76,0.131235
100129940,LOC100129940,-0.718,0.132243
26051,PPP1R16B,-1.11,0.132339
203102,ADAM32,-1.21,0.132347
80014,WWC2,-0.834,0.133022
56270,WDR45B,-0.97,0.133642
100294362,LOC100294362,-0.718,0.133831
23657,SLC7A11,-0.73,0.133831
407013,MIR24-2,-1.4,0.134256
4352,MPL,-0.976,0.134335
55086,CXorf57,-0.718,0.137064
100033435,SNORD116-24,-1,0.137064
22936,ELL2,-1.04,0.140356
100033416,SNORD116-4,-1.17,0.14142
6638,SNRPN,-1.17,0.14142
1634,DCN,-0.988,0.14249
4291,MLF1,-1.29,0.143022
56288,PARD3,-0.89,0.14467
10402,ST3GAL6,-0.766,0.146235
55599,RNPC3,-0.738,0.147862
280,AMY2B,-0.738,0.147862
23243,ANKRD28,-0.75,0.148547
2681,GGTA1P,-1.27,0.14933
976,ADGRE5,-0.742,0.150793
91133,L3MBTL4,-0.962,0.152414
1646,AKR1C2,-0.73,0.153905
100033419,SNORD116-7,-0.948,0.155874
100033417,SNORD116-5,-0.948,0.155874
114548,NLRP3,-0.848,0.156457
692075,SNORD6,-0.878,0.15724
79101,TAF1D,-0.878,0.15724
56172,ANKH,-0.894,0.159715
1948,EFNB2,-1.08,0.165114
5142,PDE4B,-0.848,0.166879
4616,GADD45B,-0.864,0.16718
677771,SCARNA4,-1.47,0.167553
29951,PDZRN4,-1.2,0.167769
2119,ETV5,-0.926,0.168699
4929,NR4A2,-1.32,0.169438
6237,RRAS,-0.766,0.172212
3815,KIT,-0.946,0.174861
57493,HEG1,-0.77,0.180997
1004,CDH6,-0.72,0.182595
26960,NBEA,-0.784,0.182595
1407,CRY1,-0.774,0.183337
4256,MGP,-0.794,0.184163
1007,CDH9,-1.78,0.185001
101954267,RNVU1-15,-1.21,0.186732
10216,PRG4,-0.756,0.190378
3280,HES1,-0.728,0.192467
284069,FAM171A2,-0.786,0.192614
1026,CDKN1A,-1.07,0.19286
374,AREG,-2.39,0.194027
64061,TSPYL2,-0.826,0.195703
279,AMY2A,-0.832,0.199478
278,AMY1C,-0.832,0.199478
277,AMY1B,-0.832,0.199478
276,AMY1A,-0.832,0.199478
54941,RNF125,-0.72,0.201812
121551,BTBD11,-0.904,0.204007
284611,FAM102B,-0.754,0.205618
26052,DNM3,-1.04,0.2086
157697,ERICH1,-0.864,0.213158
267010,RNU12,-0.706,0.215824
2625,GATA3,-0.82,0.218093
677772,SCARNA6,-0.86,0.219841
25976,TIPARP,-0.902,0.220329
23086,EXPH5,-0.8,0.221744
306,ANXA3,-0.766,0.227273
1266,CNN3,-0.774,0.231263
8825,LIN7A,-1.16,0.231915
51361,HOOK1,-0.958,0.232378
28234,SLCO1B3,-0.736,0.232565
999,CDH1,-0.738,0.235257
9263,STK17A,-0.742,0.235606
114569,MAL2,-0.77,0.242771
1556,CYP2B7P,-0.718,0.24722
80114,BICC1,-0.782,0.24961
107987020,LOC107987020,-0.76,0.257911
203274,LINC00537,-0.76,0.257911
2952,GSTT1,-0.958,0.258624
677802,SNORA14B,-1.01,0.268197
317649,EIF4E3,-0.824,0.268687
4921,DDR2,-0.778,0.269258
7718,ZNF165,-1.38,0.279123
860,RUNX2,-0.734,0.280225
5523,PPP2R3A,-0.77,0.281992
7932,OR2H2,-0.746,0.290733
26509,MYOF,-0.898,0.296542
677768,SCARNA13,-0.764,0.302524
283596,SNHG10,-0.764,0.302524
55605,KIF21A,-0.742,0.303644
4311,MME,-0.884,0.308907
55422,ZNF331,-1.14,0.31254
8013,NR4A3,-1.44,0.313804
100033821,SNORD116-29,-0.814,0.320254
55612,FERMT1,-0.714,0.321882
6446,SGK1,-0.776,0.334668
57211,ADGRG6,-0.702,0.338616
8436,SDPR,-0.738,0.342864
767564,SNORD113-4,-0.71,0.362203
100033438,SNORD116-26,-0.948,0.372733
6696,SPP1,-1.11,0.375874
100131581,LOC100131581,-0.766,0.3836
402117,VWC2L,-0.728,0.38721
54541,DDIT4,-0.738,0.387791
7078,TIMP3,-0.7,0.395137
767578,SNORD114-2,-1.11,0.395525
100124536,SNORA38B,-0.856,0.409428
28831,IGLJ3,-0.72,0.420128
3507,IGHM,-0.72,0.420128
50802,IGK,-0.72,0.420128
28912,IGKV3-20,-0.72,0.420128
28442,IGHV3-23,-0.72,0.420128
28439,IGHV3-30,-0.72,0.420128
646600,IGF2BP2-AS1,-0.85,0.436073
79730,NSUN7,-0.77,0.443544
330,BIRC3,-0.85,0.448066
5329,PLAUR,-0.812,0.459331
643616,MOP-1,-0.806,0.499737
2355,FOSL2,-0.838,0.506602
55384,MEG3,-0.806,0.516483
5168,ENPP2,-0.792,0.518002
54206,ERRFI1,-0.92,0.520517
100506658,OCLN,-1.21,0.529489
647859,LOC647859,-1.21,0.529489
767579,SNORD114-3,-1.13,0.53143
6515,SLC2A3,-0.752,0.54568
7754,ZNF204P,-0.722,0.546105
100033436,SNORD116-25,-0.806,0.55061
653166,OR1D4,-0.766,0.553642
8386,OR1D5,-0.766,0.553642
4991,OR1D2,-0.766,0.553642
245711,SPDYA,-0.794,0.55589
641517,DEFB109P1B,-0.744,0.556614
245912,DEFB109P1,-0.744,0.556614
780854,SNORD3D,-0.744,0.576602
780853,SNORD3C,-0.744,0.576602
780852,SNORD3B-2,-0.744,0.576602
780851,SNORD3A,-0.744,0.576602
26851,SNORD3B-1,-0.744,0.576602
9960,USP3,-0.74,0.605943
2949,GSTM5,-0.846,0.615762
101954277,RNVU1-19,-0.752,0.622232
3043,HBB,-0.704,0.680212
285313,IGSF10,-0.776,0.683787
